Day Index,Quantity,Impressions,Clicks,imputed_Quantity,Month Name,Weekend,Day of Week,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,January,February,March,April,May,June,July,August,September,October,November,December
2022-01-09 00:00:00,19,1759,401,19,January,1,Sunday,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-10 00:00:00,18,1571,392,18,January,0,Monday,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-11 00:00:00,18,1818,398,18,January,0,Tuesday,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-12 00:00:00,21,1506,376,21,January,0,Wednesday,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-13 00:00:00,15,1724,369,15,January,0,Thursday,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-14 00:00:00,16,2196,387,16,January,0,Friday,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-15 00:00:00,11,1933,399,11,January,1,Saturday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-16 00:00:00,16,1959,413,16,January,1,Sunday,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-17 00:00:00,19,1689,425,19,January,0,Monday,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-18 00:00:00,16,1524,368,16,January,0,Tuesday,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-19 00:00:00,16,1041,390,16,January,0,Wednesday,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-20 00:00:00,18,1175,431,18,January,0,Thursday,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-21 00:00:00,24,1681,434,24,January,0,Friday,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2022-01-22 00:00:00,13,963,385,13,January,1,Saturday,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
